"Feature";"Scenario";"Status";"Duration (ms)"
"Ingresar a Account History";"";"PASSED";"7400"
"Ingresar a Account History";"Ingreso a account history";"PASSED";"4577"
"Comprobacion check status";"";"PASSED";"5444"
"Comprobacion check status";"status exitoso";"PASSED";"2102"
"Navegacion hacia feedback";"";"PASSED";"11531"
"Navegacion hacia feedback";"feedback fallido";"PASSED";"2753"
"Navegacion hacia feedback";"";"PASSED";"5450"
"Navegacion hacia feedback";"feedback exitoso";"PASSED";"2706"
"Navegacion hacia feedback";"";"PASSED";"5442"
"Navegacion hacia feedback";"feedback exitoso";"PASSED";"2507"
"Escoger lenguaje pagina web";"";"PASSED";"7553"
"Escoger lenguaje pagina web";"Cambio de idioma";"PASSED";"4505"
"Suscripcion de correo en aplicacion";"";"PASSED";"5313"
"Suscripcion de correo en aplicacion";"Suscripcion fallida";"PASSED";"2211"
"Suscripcion de correo en aplicacion";"";"PASSED";"5317"
"Suscripcion de correo en aplicacion";"Suscripcion fallida";"PASSED";"2196"
